;Andromeda - Taklampa;Pris 26;Nytt pris
36124-30S-000;Olivgrön RAL 6003 struktur;105482;110756,1
36124-88S-000;Röd RAL 3001 struktur;105482;110756,1
36124-01S-000;Vit RAL 9016 struktur;105482;110756,1
50339;LED E14 2700 K 350 lm CRI>90;157;164,85
50282-L;LED E14 2700K 470lm CRI >90;115;120,75
;;;
;Aria - Golvlampa;;
39038-15-035;Svart RAL 9005, Svart linnetextil;8028;
39038-76-030;Rostfritt stål, Vit linnetextil;9976;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;Boa - Taklampa;;
35868-15-000;Svart läder;6980;
;;;
;Bow - Golvlampa;;
;Stor;;
39092-15-L03;Svart stativ. Gul Ochre skärm;8820;
39092-15-L06;Svart stativ. White Cream skärm;8820;
39092-15-L10;Svart stativ. Midnight Blue skärm;8820;
39092-15-L13;Svart stativ. Emerald Green skärm;8820;
39092-72-L03;Stativ i rå mässing. Yellow Ochre skärm;9100;
39092-72-L06;Stativ i rå mässing. Cream White skärm;9100;
39092-72-L10;Stativ i rå mässing. Midnight blue skärm;9100;
39092-72-L13;Stativ i rå mässing. Emerald Green skärm;9100;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;Liten;;
39092-15-S03;Svart stativ. Gul Ochre skärm;7450;
39092-15-S06;Svart stativ. White Cream skärm;7450;
39092-15-S10;Svart stativ. Midnight Blue skärm;7450;
39092-15-S13;Svart stativ. Emerald Green skärm;7450;
39092-72-S03;Stativ i rå mässing. Yellow Ochre skärm;7680;
39092-72-S06;Stativ i rå mässing. Cream White skärm;7680;
39092-72-S10;Stativ i rå mässing. Midnight blue skärm;7680;
39092-72-S13;Stativ i rå mässing. Emerald Green skärm;7680;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;Bow - Bordslampa;;
;Stativ i svartlack;;
38092-15-S03;Svart stativ. Gul Ochre skärm;5680;
38092-15-S06;Svart stativ. White Cream skärm;5680;
38092-15-S10;Svart stativ. Midnight Blue skärm;5680;
38092-15-S13;Svart stativ. Emerald Green skärm;5680;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;Rå mässing;;
38092-72-S03;Stativ i rå mässing. Yellow Ochre skärm;5980;
38092-72-S06;Stativ i rå mässing. Cream White skärm;5980;
38092-72-S10;Stativ i rå mässing. Midnight blue skärm;5980;
38092-72-S13;Stativ i rå mässing. Emerald Green skärm;5980;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;C627 - Utomhuslampa · Vägglampa;;
;Stor E27;;
30109F01S-000;Vit RAL 9016 struktur;5040;
30109F15S-000;Svart strukturlack RAL 9005;5040;
30109F69-000;Rå koppar;6051;
30109F72-000;Rå mässing;6213;
50328;LED E27 350lm, 2700 K CRI>90;134;
;;;
;Med fast LED;;
30109F01S-000-L;Vit strukturlack RAL 9016;5740;
30109F15S-000-L;Svart strukturlack RAL 9005;5740;
30109F69-000-L;Rå koppar;6751;
30109F72-000-L;Rå mässing;6913;
;;;
;Liten E27;;
30108F01S-000;Vit strukturlack RAL 9016;4160;
30108F15S-000;Svart strukturlack RAL 9005;4160;
30108F69-000;Rå koppar;4809;
30108F72-000;Rå mässing;5132;
50328;LED E27 350lm, 2700 K CRI>90;134;
;;;
;Liten fast LED;;
30108F01S-000-L;Vit strukturlack RAL 9016;4860;
30108F15S-000-L;Svart strukturlack RAL 9005;4860;
30108F69-000-L;Rå koppar;5509;
30108F72-000-L;Rå mässing;5832;
;;;
;Cake - Utomhuslampa;;
;Hög;;
39027-69-000-N;Rå koppar;7580;
39027-72-000-N;Rå mässing;7850;
P490;Jordstativ;380;
;;;
;Låg;;
39028-69-000-N;Rå koppar;7180;
39028-72-000-N;Rå mässing;7450;
P490;Jordstativ;380;
;;;
;Cirkus - Taklampa;;
35045-72-006;Naturligt oxiderad mässing, Skärm offwhite xorel naturell;33211;
35045-72-006-1;Naturligt oxiderad mässing, Skärm off-white xorel med flugor;41123;
50219-L;LED E27 2700K 1035lm CRI >90;308;
50339;LED E14 2700 K 350 lm CRI>90;157;
50324;LED E27 2700K 470lm CRI >80;107;
;;;
;Cuff - Golvlampa;;
39947-15S-A06;A Cuff;;10400
39947-15S-Q06;Q Cuff;;10400
;;;
;;;
;Essence - Bordslampa;;
38062-69-000;Rå koppar, Misty;6321;
38062-72-000;Rå mässing, Misty;6321;
38063-69-000;Rå koppar, Cloudy;6321;
38063-72-000;Rå mässing, Cloudy;6321;
R1009;Laddare 18W med USB-C kabel;302;
R1010;Grenkontakt 6-vägs;265;
;;;
;Galax - Golvlampa;;
39012-15S-000;Svart strukturlack RAL 9005;7785;
39012-72-000;Rå mässing;8726;
50219-L;LED E27 2700K 1035lm CRI >90;308;
50296;LED GU10 2700K 350lm CRI >90;140;
;;;
;Ginko - Taklampa;;
35050-01-000-L;Vit RAL 9010;7800;
35050-02-000-L;Varmgrå RAL 7032;7800;
35050-13-000-L;Tallgrön RAL 6028;7800;
35050-15-000-L;Mattsvart RAL 7016;7800;
;;;
;Hobo - Taklampa;;
;Stor;;
35870-72-019-N;Rå mässing;11010;
;;;
;Liten;;
35871-72-019;Rå mässing;10124;
;;;
;Hobo Lantern - Bordslampa;;
38871-72-019;Rå mässing;;
;Vit struktur RAL 9016;;
;;;
;Karamell - Taklampa;;
P36-42-1;Rå mässing;30759;
50339;LED E14 2700 K 350 lm CRI>90;157;
50324;LED E27 2700K 470lm CRI >80;107;
;;;
;Konkret - Taklampa;;
35865-19-000;Askfanér;5716;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;Kvist - Golvlampa;;
39030-55-000;Svart strukturlack RAL 9005, Rå stål;14858;
39030-69-000;Svart strukturlack RAL 9005, Rå koppar;15906;
39030-70-000;Svart strukturlack RAL 9005, Förnicklad mässing;20119;
39030-72-000;Svart strukturlack RAL 9005, Rå mässing;17264;
50339;LED E14 2700 K 350 lm CRI>90;157;
50282-L;LED E14 2700K 470lm CRI >90;115;
;;;
;Kvist - Taklampa;;
;4;;
36030-01S-000;Vit strukturlack RAL 9016;12911;
36030-15S-000;Svart strukturlack RAL 9005;12911;
36030-55-000;Rå stål;13444;
36030-69-000;Rå koppar;14492;
36030-70-000;Förnicklad mässing;18704;
36030-72-000;Rå mässing;15850;
50339;LED E14 2700 K 350 lm CRI>90;157;
50282-L;LED E14 2700K 470lm CRI >90;115;
P264;Krok C-formad vit struktur L=300;335;
P264-15S-300;Krok C-formad svart struktur L=300;335;
P264-69-300;Krok C-formad Rå koppar L=300;515;
P264-72-300;Krok C-formad Rå mässing L=300;619;
;;;
;6;;
36031-01S-000;Vit strukturlack RAL 9016;17138;
36031-15S-000;Svart strukturlack RAL 9005;17138;
36031-55-000;Rå stål;17994;
36031-69-000;Rå koppar;19213;
