38384-01-006-N	Vit RAL 9010Skärm offwhite med röd skiva	2714
39385-01-006	Vit RAL 9010Skärm offwhite med röd skivaBrytare på pelare	5416
30859F15-015	Svart RAL 9005Skärm svart chinette	4378
30859F72-006	Rå mässingSkärm offwhite chinette, Fast montage	4532
30859-15-015	Svart strukturlack RAL 9005Skärm svart chinette	4427
30859-72-006	Rå mässingSkärm vit chinette	4656
39859-72-006	Rå mässingSkärm offwhite chinette	7701
P35-180	Mattborstad mässingOpalglas	13673
P35-180-70	Förnicklad mässingOpalglas	16209
36030-25-000	Mattborstad mässing	14204
36030-55-000	Rå stål	10960
P264	Krok C-formad Vit struktur L=300	284
P264-69-300	Krok C-formad Rå koppar L=300	437
P264-72-300	Krok C-formad Rå mässing L=300	524
36031-25-000	Mattborstad mässing	19345
36031-55-000	Rå stål	14670
P264	Krok C-formad Vit struktur L=300	284
P264-69-300	Krok C-formad Rå koppar L=300	437
P264-72-300	Krok C-formad Rå mässing L=300	524
P264	Krok C-formad vit struktur L=300	284
P264-69-300	Krok C-formad Rå koppar L=300	437
P264-72-300	Krok C-formad Rå mässing L=300	524
50040-150	Glasskärm opalvit Ø150 mm	477
50040-300	Glasskärm opalvit Ø300 mm	795
30083F69	Rå koppar	3880
30083F72	Rå mässing	4190
50038-029	Långsträckt varmgrå glasskärm	2601
50038-069	Långsträckt oxbblod glasskärm	2601
35876-02-029-N	Varmgrå glas2,5W LED ingår, komplett armatur	4568
50039-029	Kubbig varmgrå glasskärm	2645
50039-069	Kubbig oxblod glasskärm	2645
50034	Opalglas	1050
40942-1	Komplett fot Vit RAL 9010	1045
40942-5	Komplett fot Matt svart RAL 7016	1045
40942-2	Komplett fot varmgrå RAL 7032	1045
40942-6	Komplett fot oxblod RAL 8015	1045
40942-0	Komplett fot Dimblå NCS 5020-B10G	1045
11018-1	Komplett bordsfäste vit RAL 9010	692
11018-5	Komplett bordsfäste matt svart RAL 7016	692
11018-2	Komplett bordsfäste varmgrå RAL 7032	692
11018-6	Komplett bordsfäste oxblod RAL 8015	692
11018-0	Komplett bordsfäste dimblå NCS 5020-B10G	692
11156-1	Väggfäste vit RAL 9010	744
11156-15	Väggfäste matt svart RAL 7016	744
11156-02	Väggfäste varmgrå RAL 7032	744
11156-06	Väggfäste oxblod RAL 8015	744
11156-0	Väggfäste dimblå NCS 5020B10G	744
11156-1	Väggfäste vit RAL 9010	744
11156-5	Väggfäste matt svart RAL 7016	744
11156-2	Väggfäste varmgrå RAL 7032	744
11156-6	Väggfäste oxblod RAL 8015	744
11156-0	Väggfäste dimblå NCS 5020B10G	744
11156-1	Väggfäste vit RAL 9010	744
11156-5	Väggfäste matt svart RAL 7016	744
11156-2	Väggfäste varmgrå RAL 7032	744
11156-6	Väggfäste oxblod RAL 8015	744
11156-0	Väggfäste dimblå NCS 5020B10G	744
40943-1	Komplett fot vit RAL9016	1065
40943-5	Komplett fot matt svart RAL7016	1065
40943-2	Komplett fot varmgrå RAL7032	1065
40943-6	Komplett fot oxblod RAL8015	1065
40943-0	Komplett fot dimblå NCS 5020-B10G	1065
11072-1	Komplett pelare vit RAL9016	579
11072-5	Komplett pelare matt svart RAL7016	579
11072-2	Komplett pelare varmgrå RAL7032	579
11072-6	Komplett pelare oxblod RAL8015	579
11072-0	Komplett pelare dimblå NCS 5020-B10G	579
30911-10-000-L	Dimblå NCS 5020-B10G	2083
30911F10-000-L	Dimblå NCS 5020-B10G	2083
80100-01-K	Vit krok för underhängande lampa (12 kilo)	380
80101-01-K	Vit krok för underhängande lampa (30 kilo)	875
36832-15-000	Svart RAL 9005	5265
36833-15-000	Svart RAL 9005	6496
R1001-01	Vit RAL 9016	337
35860-76-000	Rostfritt stål	93643
39861-76-000	Rostfritt stål	40523
PPP36-3000	Mässingsomtag med 3 meter vajer (per 2st)	590
PPP30-3000	Kopparomtag med 3 meter vajer (per 2st)	431
35398-01-000-N	Vit RAL 9016	1675
35398-15S-000-N	Svart strukturlack RAL 9005	1680
35398-69-000-N	Rå koppar	2090
35398-70-000-N	Förnicklad mässing	2674
35398-72-000-N	Rå mässing	2271
35077-72-000	Rå mässingVit textilkabel	6137
35077-69-000	Rå kopparVit textilkabel	5809
35077-01-000	Vit struktur RAL 9016Vit textilkabel	5501
35077-15-000	Svart strukturlack RAL 9005Start textilkabel	5501
34624-72	Skärm, rå mässing	2491
34624-69	Skärm, rå koppar	2279
34624-01	Skärm, vit strukturlack	2173
34624-15	Skärm, svart strukturlack	2173
50037	Opalglas	1907
35866-01-000	Pappersskärm	2140
35867-01-000	Pappersskärm	2178
38056-72-000	Rå mässing	3699
R1002	Trådlös laddare inkl. USB-kabel	477
